address,categoryName,city,location/lat,location/lng,neighborhood,title
"2573 الطريق الدائري السريع، 8020, Abruq Ar Rughamah، 2573 الطريق الدائري السريع، حي ابرق الرغامة، جدة 22261 8020،, Jeddah 22261, Saudi Arabia",مقهى,Jeddah,21.5061182,39.258109,أبرق الرغامة,بون كافيه
"H4QR+74W, Khadr Afandi, Al Zahra, Jeddah 23425, Saudi Arabia",مقهى,Jeddah,21.4852125,39.3050764,أبرق الرغامة,ميكاتو 6
"Q5CG+3V3 23762، ابن الشطوي, Al Hamadaniyyah, Jeddah 23762, Saudi Arabia",مقهى,Jeddah,21.4972494,39.2970208,أبرق الرغامة,كافيه أبو سلطان
"Taiba, Jeddah 23831, Saudi Arabia",مقهى,Jeddah,21.4837705,39.3096584,أبرق الرغامة,هورس كافيه
"7175 Al Mundhir Ibn Harithah, Al Adel, JIAC3252 3252, Jeddah 22361, Saudi Arabia",مقهى,Jeddah,21.4441685,39.2912554,العدل,بارت
"زين الدين البحيري, Al Adel, Jeddah 22361, Saudi Arabia",مقهى,Jeddah,21.4439477,39.2855561,العدل,مقهى دارة الكيك
"3375 المنذر بن حارثه(رضي الله عنه, Alajaweed، JJDA9377، 9377, Jeddah 22442, Saudi Arabia",مقهى,Jeddah,21.4169812,39.2919853,الاجاويد,بارنز
"4247 ابن المهلب، حي الاجاويد، JJDA7469، 7469, Jeddah 22443, Saudi Arabia",مقهى,Jeddah,21.3999835,39.3004396,الاجاويد,كيان
"4429 8206 برقه شماء, Alajaweed, Jeddah 22442, Saudi Arabia",مقهى,Jeddah,21.402659,39.301203,الاجاويد,دافني كافيه| قهوة مختصة
"5310 أبي دلف العجلي، Al Ajaweed، JJDB8120، 8120, Jeddah 22442, Saudi Arabia",مقهى,Jeddah,21.4055462,39.3110787,الاجاويد,قهوة الجبل
"7334 طريق الحرمين، JJDA4412، 4412 محطة الرحيلي طريق مكة, Jeddah 22441, Saudi Arabia",مقهى,Jeddah,21.4226176,39.3139648,الاجاويد,كوفي شوب مخمخه
"7507 عبد الله الوعيل, Al Ajaweed, JJDA2530، 2530, Jeddah 22443, Saudi Arabia",مقهى,Jeddah,21.4001493,39.2839665,الاجاويد, دانكن
"98W4+2W2, Al Ajaweed, Jeddah 22443, Saudi Arabia",مقهى,Jeddah,21.3949489,39.3073004,الاجاويد,كشك قهوة
"Ajaweed Station, Alajaweed, Jeddah 22442, Saudi Arabia",مقهى,Jeddah,21.4117053,39.2893135,الاجاويد,بارنز
"Al Ajaweed District, 4377 7233, Jeddah 22441, Saudi Arabia",مقهى,Jeddah,21.4223492,39.313694,الاجاويد,كيف الشيوخ
"Al Ajaweed, Jeddah 22421, Saudi Arabia",مقهى,Jeddah,21.3881199,39.3042086,الاجاويد,بلاسيس ترك
"C76Q+MMX، Unnamed Road، الاجاويد،, Jeddah 45353, Saudi Arabia",مقهى,Jeddah,21.4117415,39.2892385,الاجاويد,تري كوفي
"C8C7+QRJ, Al Ajaweed, Jeddah 22441, Saudi Arabia",مقهى,Jeddah,21.4219734,39.3145305,الاجاويد,جلسة رسلان
"C8F7+7CM, Makkah - Jeddah Hwy, Al Ajaweed, Jeddah 22441, Saudi Arabia",مقهى,Jeddah,21.4232081,39.3136124,الاجاويد,المذاق المغربي
"C8F7+7GW, Al Ajaweed, Jeddah 22441, Saudi Arabia",مقهى,Jeddah,21.4232405,39.3138314,الاجاويد,قهوة الاطلال
"Makkah road, Al Ajaweed, Jeddah 22230, Saudi Arabia",مقهى,Jeddah,21.4239446,39.3111071,الاجاويد,بون كافيه
"REHAILY STATION محطة الرحيلي فرع الرحيلي، JEDDAH MAKKAH HIGHWAY INSIDE AL REHAILY STATION, Jeddah Saudi Arabia",مقهى,Jeddah,21.4238915,39.311275,الاجاويد, بارنز
"حي، 7426 Makkah - Jeddah Hwy, Al Ajaweed، 4093, Jeddah 22441, Saudi Arabia",مقهى,Jeddah,21.4244823,39.310627,الاجاويد,قهوة الأمراء
"محطة الرحيلي, Makkah - Jeddah Hwy, Al Ajaweed, Jeddah 22441, Saudi Arabia",مقهى,Jeddah,21.4232592,39.3138347,الاجاويد,كرك مدير
"23466 Mouawiyah Al Sulami, Al Ajwad, Jeddah 23466, Saudi Arabia",مقهى,Jeddah,21.5896704,39.2571711,الاجواد,دزرت
"Al Manar, عبدالسلام الدمشقي, Jeddah 23466, Saudi Arabia",مقهى,Jeddah,21.6060698,39.251686,الاجواد,بران كافيه
"Az Zujaji, Al Marwah, Jeddah 23541, Saudi Arabia",مقهى,Jeddah,21.5983678,39.2667136,الاجواد,كافيه ان
"H7R5+5CV, Al Ajawad St, Al Ajwad, Jeddah 34661, Saudi Arabia",مقهى,Jeddah,21.590496,39.2585408,الاجواد,ستارز
"H7W2+X7Q, Al Ajwad, Jeddah 23466, Saudi Arabia, شارع الاجواد",مقهى,Jeddah,21.5974739,39.250744,الاجواد,كلرز كوفي
"J748+JMH, Mouawiyah Al Sulami, Al Ajwad, Jeddah 23466, Saudi Arabia",مقهى,Jeddah,21.6065672,39.26673,الاجواد,بلانز كوفي
"Street, Al-Manar, Al Ajwad, Jeddah 23462, Saudi Arabia",مقهى,Jeddah,21.596346,39.2481228,المنار,بارت
"2684، حي الامير عبدالمجيد، جدة 22433 9160، 22433, Saudi Arabia",مقهى,Jeddah,21.4179956,39.259951,الأمير عبدالمجيد,مقهى الدانه
"3027, Al Amir Abdoulmajed District, Al Amir Abdoulmajed District, 9350, Jeddah 22433, Saudi Arabia",مقهى,Jeddah,21.4198206,39.2632,الأمير عبدالمجيد,كافيه المزاج 
"9129 حي, Prince Abdulmajeed، 2899, Jeddah 22433, Saudi Arabia",مقهى,Jeddah,21.4177297,39.2616839,الأمير عبدالمجيد,مقهى البشاير
"Al Amir Abdoulmajed District, Jeddah 22433, Saudi Arabia",مقهى,Jeddah,21.4168187,39.2643013,الأمير عبدالمجيد,مقهى مراكش
"C797+252، 9129 2899، حي الامير عبدالمجيد،, Prince Abdulmajeed, Jeddah 22433, Saudi Arabia",مقهى,Jeddah,21.4176576,39.2619808,الأمير عبدالمجيد,مقهى ثلاث نقاط
"C797+9G2, Prince Abdulmajeed، Unnamed Road, Jeddah 22433, Saudi Arabia",مقهى,Jeddah,21.4183769,39.2637525,الأمير عبدالمجيد,مقهى الروقان
"C7C6+4JG, Prince Abdulmajeed, Jeddah 22433, Saudi Arabia",مقهى,Jeddah,21.4203044,39.261574,الأمير عبدالمجيد,مقهى حجرين 2
"Prince Abdulmajeed, سيد الشهداء _, Jeddah 22431, Saudi Arabia",مقهى,Jeddah,21.4389831,39.2750639,الأمير عبدالمجيد,كوفي 89
"حي, Prince Abdulmajeed, Jeddah 22433, Saudi Arabia",مقهى,Jeddah,21.4184506,39.2635184,الأمير عبدالمجيد,مقهي نادي الليل
"3135 عمرو بن عوف، حي الامير فواز الشمالى، جدة 22361 7144 Saudi Arabia",مقهى,Jeddah,21.4440652,39.2903019,الأمير فواز الشمالي,سولت كافيه
"3579 حي, Al Amir Fawwaz Al Junoobi, JJZA7861، 7861 سالم بن شكبان, Jeddah 22431, Saudi Arabia",مقهى,Jeddah,21.4127705,39.2989601,الاجاويد,قوت كافيه
"7067 سفيان بن أبي زهير،, Al Amir Fawwaz Al Junoobi, 4734, Jeddah 22431, Saudi Arabia",مقهى,Jeddah,21.4324052,39.2888308,الأمير فواز الجنوبي,لودينق كافيه
"Al Amir Fawwaz Al Junoobi, Jeddah 22431, Saudi Arabia",مقهى,Jeddah,21.4386438,39.2785196,الأمير فواز الجنوبي,إيميز
"Al Amir Fawwaz Al Junoobi, Jeddah 22441, Saudi Arabia",مقهى,Jeddah,21.4186217,39.3002154,الأمير فواز الجنوبي,بونز كافيه
"Al Amir Fawwaz Al Junoobi, Makkah Al Mukarramah Rd، طريق مكة جدة السريع، حي, Jeddah 22431, Saudi Arabia",مقهى,Jeddah,21.4410405,39.2809711,الأمير فواز الجنوبي,بون كافيه
"Al Amir Fawwaz Al Junoobi، 3877 طريق مكة جدة السريع، حي 7979 طريق مكة, Jeddah 22431, Saudi Arabia",مقهى,Jeddah,21.4410893,39.2808102,الأمير فواز الجنوبي,المذاق المغربي
"Al Zafer Hospital, Al Amir Fawwaz Al Junoobi، حي, Jeddah Saudi Arabia",مقهى,Jeddah,21.4303123,39.2955914,الأمير فواز الجنوبي,برونز كافيه
"C7PJ+248, Sayyid Ash Shuhada, سيد الشهداء الاسكان الجنوبي نهاية الممشى مقابل الدفاع المدني, Jeddah Saudi Arabia",مقهى,Jeddah,21.4350477,39.2803231,الأمير فواز الجنوبي,كريزي سويت
"C7QJ+W6F, Unnamed Road, Al Amir Fawwaz Al Junoobi, Jeddah 22431, Saudi Arabia",مقهى,Jeddah,21.4398187,39.2805473,الأمير فواز الجنوبي,وافي كافيه
"C7RH+8VX, Al Amir Fawwaz Al Junoobi, Jeddah 22431, Saudi Arabia",مقهى,Jeddah,21.4408658,39.2797323,الأمير فواز الجنوبي,بيت الدونات
"C8F7+7JW حي, Al Amir Fawwaz Al Junoobi, Jeddah 22441, Saudi Arabia",مقهى,Jeddah,21.4232278,39.3140667,الاجاويد,ستار كافيه
"District, 4763 Ring Rd Express Way Al Amir Fawaz Al Janouby, Jeddah Saudi Arabia",مقهى,Jeddah,21.4373294,39.2897973,الأمير فواز الجنوبي,بارنز
"Event Mall, Al Amir Fawwaz Al Junoobi, Jeddah 22431, Saudi Arabia",مقهى,Jeddah,21.4409011,39.2796047,الأمير فواز الجنوبي,ستاربكس 
"Lulu Building- main entrance. Ground floor Western Province, Event Mall, Old Mecca Al Moukarramah Rd, Al Amir Fawwaz Al Junoobi, Jeddah 22431, Saudi Arabia",مقهى,Jeddah,21.4380919,39.2800626,الأمير فواز الجنوبي,تيم هورتنز
